timestamp,cpu_percent,ram_percent,cpu_temp,gpu_temp,cpu_limit,cpu_temp_limit,gpu_temp_limit,alert_main
2025-11-28 14:16:29,67.0,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:16:30,62.5,81.3,,,100.0,80.0,75.0,0
2025-11-28 14:16:31,43.3,81.8,,,100.0,80.0,75.0,0
2025-11-28 14:16:32,36.3,81.8,,,100.0,80.0,75.0,0
2025-11-28 14:16:33,54.9,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:16:34,44.1,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:16:35,47.1,81.4,,,100.0,80.0,75.0,0
2025-11-28 14:16:36,36.9,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:16:37,40.6,81.4,,,100.0,80.0,75.0,0
2025-11-28 14:16:38,41.0,81.4,,,100.0,80.0,75.0,0
2025-11-28 14:16:40,70.8,82.4,,,100.0,80.0,75.0,0
2025-11-28 14:16:41,21.5,82.4,,,100.0,80.0,75.0,0
2025-11-28 14:16:42,50.0,82.3,,,100.0,80.0,75.0,0
2025-11-28 14:16:43,95.3,85.2,,,100.0,80.0,75.0,0
2025-11-28 14:16:44,50.6,82.7,,,100.0,80.0,75.0,0
2025-11-28 14:16:45,87.9,79.5,,,100.0,80.0,75.0,0
2025-11-28 14:16:46,75.9,77.6,,,100.0,80.0,75.0,0
2025-11-28 14:16:47,64.4,77.4,,,100.0,80.0,75.0,0
2025-11-28 14:16:48,78.5,77.2,,,100.0,80.0,75.0,0
2025-11-28 14:16:49,58.7,77.3,,,100.0,80.0,75.0,0
2025-11-28 14:16:50,62.6,77.9,,,100.0,80.0,75.0,0
2025-11-28 14:16:51,61.3,77.6,,,100.0,80.0,75.0,0
2025-11-28 14:16:52,56.5,77.9,,,100.0,80.0,75.0,0
2025-11-28 14:16:53,85.8,77.8,,,100.0,80.0,75.0,0
2025-11-28 14:16:54,84.6,77.4,,,100.0,80.0,75.0,0
2025-11-28 14:16:55,80.7,77.3,,,100.0,80.0,75.0,0
2025-11-28 14:16:56,56.7,77.2,,,100.0,80.0,75.0,0
2025-11-28 14:16:57,73.7,77.9,,,100.0,80.0,75.0,0
2025-11-28 14:16:58,87.6,78.3,,,100.0,80.0,75.0,0
2025-11-28 14:16:59,72.9,77.9,,,100.0,80.0,75.0,0
2025-11-28 14:17:00,57.7,77.8,,,100.0,80.0,75.0,0
2025-11-28 14:17:02,54.1,77.9,,,100.0,80.0,75.0,0
2025-11-28 14:17:03,61.6,78.0,,,100.0,80.0,75.0,0
2025-11-28 14:17:04,66.4,78.1,,,100.0,80.0,75.0,0
2025-11-28 14:17:05,54.3,78.2,,,100.0,80.0,75.0,0
2025-11-28 14:17:06,70.5,78.2,,,100.0,80.0,75.0,0
2025-11-28 14:17:07,76.5,78.2,,,100.0,80.0,75.0,0
2025-11-28 14:17:08,61.8,78.3,,,100.0,80.0,75.0,0
2025-11-28 14:17:09,52.2,78.4,,,100.0,80.0,75.0,0
2025-11-28 14:17:10,50.2,78.4,,,100.0,80.0,75.0,0
2025-11-28 14:17:11,54.5,78.6,,,100.0,80.0,75.0,0
2025-11-28 14:17:12,54.1,78.6,,,100.0,80.0,75.0,0
2025-11-28 14:17:13,58.8,78.7,,,100.0,80.0,75.0,0
2025-11-28 14:17:14,57.2,78.3,,,100.0,80.0,75.0,0
2025-11-28 14:17:15,53.5,78.4,,,100.0,80.0,75.0,0
2025-11-28 14:17:16,50.9,78.5,,,100.0,80.0,75.0,0
2025-11-28 14:17:17,64.6,79.7,,,100.0,80.0,75.0,0
2025-11-28 14:17:18,33.3,80.0,,,100.0,80.0,75.0,0
2025-11-28 14:17:19,53.9,80.3,,,100.0,80.0,75.0,0
2025-11-28 14:17:20,38.7,80.2,,,100.0,80.0,75.0,0
2025-11-28 14:17:21,52.6,80.3,,,100.0,80.0,75.0,0
2025-11-28 14:17:22,63.0,80.4,,,100.0,80.0,75.0,0
2025-11-28 14:17:23,59.0,80.4,,,100.0,80.0,75.0,0
2025-11-28 14:17:24,32.8,80.3,,,100.0,80.0,75.0,0
2025-11-28 14:17:25,39.6,80.4,,,100.0,80.0,75.0,0
2025-11-28 14:17:26,50.2,80.5,,,100.0,80.0,75.0,0
2025-11-28 14:17:27,63.8,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:17:28,67.4,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:17:29,82.8,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:17:31,81.7,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:17:32,86.1,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:17:33,76.1,80.2,,,100.0,80.0,75.0,0
2025-11-28 14:17:34,55.3,79.8,,,100.0,80.0,75.0,0
2025-11-28 14:17:35,62.9,79.8,,,100.0,80.0,75.0,0
2025-11-28 14:17:36,67.4,79.8,,,100.0,80.0,75.0,0
2025-11-28 14:17:37,69.7,79.6,,,100.0,80.0,75.0,0
2025-11-28 14:17:38,56.1,79.6,,,100.0,80.0,75.0,0
2025-11-28 14:17:39,50.6,79.8,,,100.0,80.0,75.0,0
2025-11-28 14:17:40,36.4,79.9,,,100.0,80.0,75.0,0
2025-11-28 14:17:41,42.3,80.2,,,100.0,80.0,75.0,0
2025-11-28 14:17:42,41.4,80.3,,,100.0,80.0,75.0,0
2025-11-28 14:17:43,30.5,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:17:44,22.6,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:17:45,15.7,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:17:46,37.4,81.0,,,100.0,80.0,75.0,0
2025-11-28 14:17:47,57.6,81.3,,,100.0,80.0,75.0,0
2025-11-28 14:17:48,59.4,81.4,,,100.0,80.0,75.0,0
2025-11-28 14:17:49,61.6,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:17:50,59.0,81.2,,,100.0,80.0,75.0,0
2025-11-28 14:17:51,56.6,81.4,,,100.0,80.0,75.0,0
2025-11-28 14:17:52,66.8,81.4,,,100.0,80.0,75.0,0
